Id,StageName,Closed_Lost_Reason__c,Closed_Lost_Detail__c,Closed_Lost_Date__c,Owner_Note
QUERY_FOR_ID,Stage 7. Closed Lost,Timing,Didnt want to join CAB. Move to nurture / reassign.,2026-01-30,StoneX (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Not Qualified,Not qualified - too small (1 lawyer). Move to nurture.,2026-01-30,Initial Group (Asad)
QUERY_FOR_ID,Stage 7. Closed Lost,Timing,Not ready yet / too early in their AI timeline. Move to nurture / reassign.,2026-01-30,Amkor (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never actually met. Move to nurture / reassign.,2026-01-30,Autodesk (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Not Qualified,Too small. Move to nurture / reassign.,2026-01-30,Cyware (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Went cold. Move to nurture / reassign.,2026-01-30,Emory (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Competitor,Too small. Built internal competitive solutions. Move to nurture / reassign.,2026-01-30,Flo Health (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,No Path to DM,HOLO / DGC Trap. Move to nurture / reassign.,2026-01-30,JFrog (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never met. Move to nurture / reassign.,2026-01-30,Klarna (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,RFP Process,Went to RFP. Move to nurture / reassign.,2026-01-30,Lineage (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Unresponsive,Stopped responding. Move to nurture / reassign.,2026-01-30,One Oncology (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never met. Move to nurture / reassign.,2026-01-30,Palantir (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never met. Move to nurture / reassign.,2026-01-30,Palo Alto Networks (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never met. Move to nurture / reassign.,2026-01-30,RBI (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Timing,Consolidated AI initiatives to another business unit - my business unit GC went cold. Move to nurture / reassign.,2026-01-30,Santander (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,Never met. Move to nurture / reassign.,2026-01-30,Shell (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Not Qualified,Not qualified. Limited budget. Move to nurture / reassign.,2026-01-30,SKIMS (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Unknown,Not sure what happened here. Move to nurture / reassign.,2026-01-30,Solventum (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Timing,Too early in AI journey - no clear vision. Move to nurture / reassign.,2026-01-30,Tenable (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,Carrier Global (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,FedEx (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,Glean (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,Republic Services (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,SpaceX (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,Tesla (Ananth)
QUERY_FOR_ID,Stage 7. Closed Lost,Never Met,I never really had anything here. Move to nurture / re-assign.,2026-01-30,UPS (Ananth)
