Target sign date,Sales Type,Opportunity Name,Net ACV,BL Forecast Category,Quarterly Forecast Net,Quarterly Forecast Net (AI-Enabled),Weighted ACV,Weighted ACV (AI-Enabled),Quarterly Commit (Net New),Quarterly Commit Net (AI-Enabled),Blended Forecast (base),Blended Forecast (AI-Enabled),Pod,Opportunity Owner
3/31/26,New business,TE Connectivity - Sigma/Contracting,240000,Commit,240000,240000,79200,79200,240000,240000,127440,228000,US,Olivia Jung
3/31/26,New business,Best Buy - FDE - Claims Solution,120000,Pipeline,0,0,21600,21600,0,0,15120,0,US,Olivia Jung
3/2/26,Expansion,Graybar Canada - Augmented Contracting,120000,Gut,72000,72000,90000,90000,0,0,84600,90000,US,Olivia Jung
2/28/26,New business,White Cap - LOI,0,Pipeline,0,0,0,0,0,0,0,0,US,Olivia Jung
2/28/26,Expansion,Etsy Privacy Support - Secondee,55000,Commit,55000,0,27500,0,55000,0,35750,0,US,Olivia Jung
2/28/26,Renewal,BOI F&P March 26 March 29,0,Commit,0,0,0,0,0,0,0,0,EU,Alex Fox
2/26/26,Renewal,BOI FSPO Tracker renewal 2026/2028,235125,Commit,235125,0,117562.5,0,235125,0,152831.25,0,EU,Alex Fox
4/30/26,New business,Masdar Future Energy Company - Discovery,259200,Pipeline,0,0,25920,25920,0,0,18144,0,EU,Conor Molloy
4/30/26,New business,Al Dahra Group Llc - Qualifying,129600,Pipeline,0,0,2592,2592,0,0,1814.4,0,EU,Conor Molloy
3/31/26,New business,FNZ Group - Qualifying,129600,Pipeline,0,0,2592,2592,0,0,1814.4,0,EU,Conor Molloy
3/31/26,New business,Accenture - Procurement Contracting,100000,Pipeline,0,0,20000,20000,0,0,14000,0,EU,Conor Molloy
3/31/26,New business,AIR (Advanced Inhalation Rituals) - Discovery,278400,Gut,167040,167040,55680,55680,0,0,89088,55680,EU,Conor Molloy
3/31/26,New business,ION - Discovery,129600,Pipeline,0,0,12960,12960,0,0,9072,0,EU,Conor Molloy
3/31/26,Expansion,Consensys,120000,Gut,72000,72000,38400,38400,0,0,48480,38400,EU,Conor Molloy
2/28/26,New business,Wellspring - AI Diligence ARR Conversion,800000,Commit,800000,800000,400000,400000,800000,800000,520000,760000,EU,Conor Molloy
2/28/26,New business,Sequoia Climate Fund,480000,Commit,480000,480000,240000,240000,480000,480000,312000,456000,EU,Conor Molloy
2/27/26,Expansion,Coillte AIE Support,348000,Pipeline,0,0,174000,0,0,0,121800,0,EU,Emer Flynn
3/31/26,New business,Indeed Sigma Tech and Extension Solutions,371000,Pipeline,0,0,66780,66780,0,0,46746,0,EU,Nathan Shine
3/31/26,New business,OKX Sigma Deal,139200,Pipeline,0,0,25056,25056,0,0,17539.2,0,EU,Nathan Shine
3/31/26,New business,Perrigo Outsourced Contracts MLS,300000,Commit,300000,300000,96000,96000,300000,300000,157200,285000,EU,Nathan Shine
3/31/26,New business,Regeneron Sigma Deal,144000,Commit,144000,144000,28800,28800,144000,144000,63360,136800,EU,Nathan Shine
3/31/26,New business,Stepstone Contracting NDA Service,240000,Pipeline,0,0,43200,43200,0,0,30240,0,EU,Nathan Shine
3/31/26,New business,Dropbox AI Augmented Contracting Deal,348000,Gut,208800,208800,111360,111360,0,0,140592,111360,EU,Nathan Shine
3/31/26,New business,TikTok Contracting Technology,120000,Pipeline,0,0,38400,38400,0,0,26880,0,EU,Nathan Shine
3/31/26,New business,Fexco Contracting Solution/Managed Service,232000,Gut,139200,139200,46400,46400,0,0,74240,46400,EU,Nathan Shine
3/31/26,New business,Coimisiun na Mean - Sigma,140360.4,Pipeline,0,0,44915.33,44915.33,0,0,31440.73,0,EU,Nathan Shine
2/20/26,Renewal,Airbnb Consultant extensions,139000,Commit,139000,0,44480,0,139000,0,72836,0,EU,Nathan Shine
2/6/26,Expansion,Udemy Contracting Solution Secondments,0,Commit,0,0,0,0,0,0,0,0,EU,Nathan Shine
2/6/26,New business,Keurig Dr Pepper Tech Enabled Consultant,143550,Commit,143550,143550,28710,28710,143550,143550,63162,136372.5,EU,Nathan Shine
2/6/26,New business,Commscope Sigma/Extension Opp,170000,Commit,170000,170000,54400,54400,170000,170000,89080,161500,EU,Nathan Shine
4/30/26,New business,Citi - RFP - Approved Service Provider,400000,Gut,240000,0,72000,0,0,0,122400,0,EU,Nicola Fratini
4/29/26,New business,Goodbody - Sigma Insights & Contracting,240000,Gut,144000,144000,60000,60000,0,0,85200,60000,EU,Nicola Fratini
4/29/26,Expansion,Northern Trust - Contracting - Irish regulated fund agreements,69600,Gut,41760,41760,34800,34800,0,0,36888,34800,EU,Nicola Fratini
4/29/26,New business,Aviva Insurance - Sigma/Contracting/M&A,240000,Gut,144000,144000,79200,79200,0,0,98640,79200,EU,Nicola Fratini
4/29/26,New business,AIB - Sigma & Contracting,240000,Gut,144000,144000,48000,48000,0,0,76800,48000,EU,Nicola Fratini
3/31/26,Expansion,Datalex - Sigma/Contracting/MLS,300000,Gut,180000,180000,150000,150000,0,0,159000,150000,EU,Nicola Fratini
2/28/26,New business,Re-Turn - Sigma and Contracting MLS,200000,Commit,200000,200000,66000,66000,200000,200000,106200,190000,EU,Nicola Fratini
2/27/26,Expansion,Electricity Supply Board - DPO 12 month ODL,215000,Pipeline,0,0,38700,0,0,0,27090,0,EU,Tom Clancy
